"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","LCSC Price"
"C1,C2,C3,C4,C8,C12,C13,C14,C15,C16,C22,C39,C40,C41,C42,C45,C53,C54,C55,C64,C65,C66,C74,C75,C76,C77,C86,C87,C88,C90,C92,C93","32","100nF","","","","0.0006"
"C5,C9,C10,C11,C25,C30,C31,C32,C43,C44,C46,C47,C56,C57,C58,C67,C68,C78,C79,C80","20","10uF","","","","0.0096"
"C6,C23,C36,C37,C38,C48,C49,C50,C61,C62,C63,C71,C72,C73,C83,C84,C85,C91,C94","19","1uF","","","","0.0018"
"C7,C24,C33,C34,C35,C51,C52,C59,C60,C69,C70,C81,C82","13","4.7uF","","","","0.0063"
"C17,C18","2","18pF","","","","0.0008"
"C19,C20","2","8pF","","","","0.0008"
"C21,C26,C27,C28,C29,C89","6","470uF","","","","0.0666"
"D1,D2,D7,D8,D9","5","1N5819","","","","0.0062"
"D3,D4","2","WS2815","","","",""
"F1","1","630mA","","","","0.0285"
"J1,J2,J3,J4,J5,J6,J7,J8,J10","9","PWM_OUT","","","",""
"J9","1","Conn_01x10_Pin","","","",""
"J11,J12,J13,J14","4","AC_OUT","","","",""
"J15","1","SPK","","","",""
"J16","1","LEVEL_LOW","","","",""
"J17,J18","2","LEVEL_HIGH","","","",""
"J19","1","VIN","","","",""
"J20","1","Conn_01x04_Pin","","","",""
"J21","1","IR","","","",""
"K1,K2,K3,K4","4","SANYOU_SRD_Form_C","","","",""
"L1,L2","2","2.2uH","","","","0.0521"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","9","IRFR220","","","","0.2885"
"Q10,Q11,Q12,Q13","4","2N7002H","","","","0.0138"
"R1,R2,R3,R5,R8,R10,R13,R14,R17,R18,R23,R24,R25,R26,R31,R32,R33,R34,R36,R38,R40,R41,R46,R47,R48,R49,R52,R53,R74,R75,R76,R79,R81,R82,R84","35","10k","","","","0.0003"
"R4,R6,R7,R9,R11,R12,R15,R16,R19,R20,R21,R22,R27,R28,R29,R30,R35,R37,R39,R42,R45,R50,R51,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73","43","100R","","","","0.0003"
"R80","1","45.3k","","","","0.0004"
"R83","1","75k","","","","0.0004"
"SW1,SW2,SW3,SW4,SW5","5","SW_Push","","","","0.0912"
"U1","1","STM32F030C6Tx","","","","0.7"
"U2,U3,U4,U5,U6,U7,U8,U9,U10","9","TLP152","","","","0.4590"
"U11","1","DFR0299","","","",""
"U12,U13","2","RY9130","","","","0.0816"
"Y1","1","8Mhz","","","","0.1668"
"Y2","1","32.768KHz","","","","0.2051"
